#compiled from Rivera-Thorsen+ , Erb+ , Grimes+ 
#
#element  ionstate   lamc            dv of interest
O         II         3727.092        1000.
O         II         3729.87         1000.
He        Ib         3889.7508       1000.
Ne        III        3870.16         1000.
Ne        III        3968.91         1000.
H         I          4102.892        1000.
H         I          4341.684        1000.
O         III        4364.436        1000.
He        I          4472.72909      1000.
He        II         4687.02         1000.
H         I          4862.683        1000.
O         III        4960.29         1000.
O         III        5008.240        1000.
N         I          5199.3490       1000.
N         I          5201.7055       1000.
He        Ib         5877.374        1000.  
O         I          6302.046        1000.
O         I          6365.536        1000.
N         II         6549.85         1000.
H         I          6564.61         1000.
N         II         6585.28         1000.
He        I          6679.9955989    1000.
S         II         6718.29         1000.
S         II         6732.67         1000.
He        I          7067.16338      1000.
Ar        III        7137.8          1000.
O         II         7322.01         1000.
O         II         7331.3          1000.
